      mass_in  chg_in     en_in    azi_in    pol_in  guess_en         x         y         z          px          py          pz          time        en        de       azi       pol    true_x    true_y    true_z     true_px     true_py     true_pz     true_time   true_en   true_de  true_azi  true_pol  start_en    pdev_en   dev_azi   dev_pol    en_err
0           4       2  2.114493  1.016146  3.111494         2  0.063315 -0.010377  0.302757   23.197535  -13.627941 -153.740657  4.265922e-08  0.810983 -0.033947 -0.531158  2.968348  0.053519 -0.000787  0.301000   22.668893   -8.858913 -171.734077  4.062473e-08  1.001472  0.002181 -0.372547  3.000809  2.114493 -19.020952 -0.158611 -0.032460  0.114493
1           4       2  1.936302  3.792599  2.098699         2 -0.166154 -0.079779  0.883726 -183.577969  -48.216052 -120.046015  1.231536e-08  1.678339 -0.005596 -2.884748  2.134751 -0.248440 -0.119750  0.829714 -170.476521  -40.781098 -113.464319  1.811899e-08  1.450999  0.001668 -2.906787  2.145277  1.936302  15.667854  0.022039 -0.010526 -0.063698
2           4       2  2.007848  4.622155  2.140916         2 -0.049630 -0.180965  0.873862  -78.759328 -168.924117 -122.397412  1.308161e-08  1.654495 -0.005408 -2.007074  2.151868 -0.077056 -0.264816  0.819966  -83.392618 -158.295629 -118.287019  1.800004e-08  1.530944  0.001603 -2.055666  2.154951  2.007848   8.070210  0.048592 -0.003083  0.007848
3           4       2  1.887519  5.533807  1.585493         2  0.088700 -0.101267  0.996755  150.802844 -185.599371    1.663942  3.535589e-09  1.902882 -0.002205 -0.888469  1.563838  0.164696 -0.220629  0.999951   92.375655 -188.978883    2.654677  1.545714e-08  1.472741  0.001650 -1.116137  1.558177  1.887519  29.206775  0.227668  0.005662 -0.112481
4           4       2  1.932153  4.249593  2.109260         2 -0.107038 -0.143115  0.885693 -137.443807 -131.043365 -119.821120  1.224573e-08  1.677792 -0.005744 -2.380029  2.133670 -0.168864 -0.217639  0.828978 -133.872110 -113.437926 -112.493892  1.814383e-08  1.445854  0.001672 -2.438633  2.140888  1.932153  16.041645  0.058604 -0.007219 -0.067847
5           4       2  1.950140  3.998157  2.228579         2 -0.145339 -0.106877  0.846651 -153.444544  -69.480242 -144.685605  1.368458e-08  1.640768 -0.006463 -2.716410  2.280471 -0.220615 -0.164941  0.775992 -144.185615  -62.965903 -133.408757  1.990364e-08  1.416167  0.001698 -2.729854  2.274087  1.950140  15.859776  0.013444  0.006384 -0.049860
6           4       2  2.049252  1.843910  2.914823         2  0.073316  0.120347  0.365034   45.941281   14.280161 -160.036120  3.877920e-08  0.929643 -0.015948  0.301367  2.849570  0.052843  0.130553  0.367338   39.303088   23.663935 -167.237913  3.807111e-08  1.001082  0.002181  0.541954  2.873856  2.049252  -7.136205 -0.240586 -0.024286  0.049252
7           4       2  1.932861  4.455808  3.048158         2 -0.001502 -0.044810  0.461608    3.367465  -15.999457 -186.850168  3.056676e-08  1.170981 -0.058892 -1.363350  3.054312 -0.005580 -0.047719  0.439407    1.099006  -14.396890 -172.759216  3.356498e-08  1.000450  0.002182 -1.494608  3.058209  1.932861  17.045484  0.131257 -0.003897 -0.067139
8           4       2  1.902398  2.590156  2.423374         2 -0.147871  0.194864  0.687866  -32.466013  120.212719 -159.994575  2.354982e-08  1.367989 -0.007235  1.834575  2.480240 -0.177607  0.210112  0.662518  -40.299880  111.550279 -148.806641  2.547163e-08  1.205265  0.001909  1.917477  2.468652  1.902398  13.501107 -0.082902  0.011589 -0.097602
9           4       2  1.961126  4.785863  1.611912         2 -0.018340 -0.188821  0.992959  -56.715708 -219.605250   -3.559557  1.071127e-08  1.712220 -0.004650 -1.823536  1.586489 -0.028016 -0.273755  0.988438  -60.395194 -207.735043   -9.755096  1.509969e-08  1.560635  0.001581 -1.853729  1.615858  1.961126   9.713000  0.030193 -0.029369 -0.038874
10          4       2  1.998166  3.880483  2.079252         2 -0.151811 -0.095899  0.888081 -174.956775  -73.391291 -121.464372  1.194193e-08  1.688747 -0.004967 -2.744405  2.140257 -0.235428 -0.142576  0.838213 -172.534265  -60.940911 -112.463852  1.746971e-08  1.535145  0.001600 -2.802061  2.121898  1.998166  10.005667  0.057656  0.018359 -0.001834
11          4       2  1.960239  0.981142  3.024027         2  0.090227  0.021688  0.421722   40.209248   -9.535510 -175.456755  3.351605e-08  1.081578 -0.018510 -0.232846  2.910283  0.081368  0.029994  0.424669   35.519340   -3.456353 -169.729620  3.459356e-08  1.001364  0.002181 -0.097004  2.934353  1.960239   8.010450 -0.135842 -0.024070 -0.039761
12          4       2  2.046575  3.318804  2.465806         2 -0.208186  0.022713  0.704918 -106.673525   46.358689 -173.218942  2.079868e-08  1.448793 -0.010768  2.731632  2.550271 -0.273359  0.032351  0.624033 -102.540414   50.129059 -165.880217  2.603432e-08  1.349375  0.001759  2.686888  2.538916  2.046575   7.367754  0.044744  0.011356  0.046575
13          4       2  1.936465  5.598139  1.731854         2  0.145278 -0.176111  0.964749  106.641591 -193.169502  -27.707806  1.338175e-08  1.645687 -0.003809 -1.066371  1.695715  0.179193 -0.209158  0.959424  106.516904 -183.673569  -28.078898  1.539182e-08  1.526509  0.001607 -1.045269  1.702278  1.936465   7.807270 -0.021103 -0.006563 -0.063535
14          4       2  2.017415  4.814696  2.095468         2 -0.014734 -0.193877  0.881542  -45.984216 -186.264346 -114.604036  1.295686e-08  1.661926 -0.005271 -1.812833  2.109259 -0.023336 -0.274142  0.839700  -51.565178 -179.740627 -109.157074  1.730768e-08  1.560115  0.001581 -1.850179  2.099186  2.017415   6.525905  0.037347  0.010074  0.017415
15          4       2  1.988568  5.541228  3.020703         2  0.055994 -0.074994  0.413198   15.062206  -30.819905 -174.034158  3.474779e-08  1.047373 -0.023717 -1.116216  2.946979  0.057150 -0.072151  0.403572   15.407423  -28.073808 -170.526853  3.566751e-08  1.002137  0.002180 -1.068861  2.955961  1.988568   4.513983 -0.047355 -0.008982 -0.011432
16          4       2  2.087567  2.035278  2.562880         2  0.001685  0.247933  0.585229   49.877694   86.726831 -157.308942  2.972403e-08  1.156848 -0.007152  1.048877  2.575131 -0.019688  0.274624  0.559381   37.342762  101.148129 -166.394092  2.908752e-08  1.308423  0.001799  1.217130  2.566634  2.087567 -11.584592 -0.168253  0.008497  0.087567
17          4       2  2.086250  1.916752  2.943787         2  0.065747  0.108277  0.331671   40.761980   10.255928 -154.800801  4.087132e-08  0.856570 -0.018622  0.246489  2.876459  0.046233  0.117786  0.334634   35.883168   19.807362 -168.478763  3.953309e-08  1.000809  0.002182  0.504374  2.902952  2.086250 -14.412224 -0.257885 -0.026492  0.086250
18          4       2  1.964279  1.723245  2.389667         2  0.049572  0.249602  0.719574   73.505992  119.930950 -145.356483  2.281676e-08  1.361725 -0.004800  1.020944  2.372597  0.040464  0.272452  0.701972   61.992334  124.298661 -145.272209  2.299982e-08  1.344503  0.001763  1.108160  2.378615  1.964279   1.280964 -0.087216 -0.006018 -0.035721
19          4       2  1.784236  2.578564  1.868023         2 -0.160745  0.160972  0.922011 -114.110532  176.505980  -71.972825  1.372738e-08  1.642398 -0.004839  2.144705  1.900715 -0.198850  0.190656  0.909504 -105.462523  156.030007  -64.869547  1.694954e-08  1.320508  0.001787  2.165172  1.902517  1.784236  24.376187 -0.020467 -0.001802 -0.215764
20          4       2  2.020007  0.036275  1.580608         2  0.172905 -0.022753  0.999463  213.650905  -62.046556    7.752576  1.192922e-08  1.649078 -0.011761 -0.282636  1.535964  0.127704 -0.005461  1.000001  233.885597  -28.602171    2.307817  6.659353e-09  1.847521  0.001394 -0.121687  1.561002  2.020007 -10.741045 -0.160949 -0.025038  0.020007
21          4       2  2.043975  3.964779  3.112159         2  0.023757 -0.020941  0.350750   14.985011  -10.767312 -169.379629  3.759600e-08  0.966371 -0.047834 -0.623060  3.033080  0.014664 -0.016565  0.353959   11.565386   -7.644260 -172.844943  3.787067e-08  1.000894  0.002182 -0.584042  3.061557  2.043975  -3.449196 -0.039018 -0.028477  0.043975
22          4       2  2.165700  3.831344  1.813860         2 -0.145730 -0.083096  0.949593 -204.940061  -77.465247  -68.029139  9.645778e-09  1.751231 -0.004516 -2.780203  1.871863 -0.239373 -0.137063  0.926099 -209.502882  -75.274416  -63.936583  1.477403e-08  1.785017  0.001430 -2.796657  1.850475  2.165700  -1.892753  0.016453  0.021388  0.165700
23          4       2  1.897099  4.620486  1.967274         2 -0.049092 -0.183456  0.915407  -84.996671 -188.346709  -90.336944  1.171400e-08  1.692401 -0.005001 -1.994712  1.982935 -0.075501 -0.264749  0.882483  -86.840263 -170.259335  -82.909594  1.684317e-08  1.444480  0.001673 -2.042449  1.980092  1.897099  17.163359  0.047737  0.002844 -0.102901
24          4       2  1.940244  6.268878  2.316654         2  0.242476 -0.074955  0.773994  136.583597  -88.008056 -131.585925  2.000475e-08  1.454851 -0.004788 -0.572395  2.251513  0.266760 -0.068495  0.757746  138.835304  -74.524368 -129.324623  2.070529e-08  1.382974  0.001727 -0.492639  2.258051  1.940244   5.197331 -0.079756 -0.006537 -0.059756
25          4       2  2.061738  1.288704  2.475035         2  0.157349  0.199456  0.674951  112.883256   64.240557 -151.537382  2.457527e-08  1.325739 -0.005569  0.517380  2.432992  0.156048  0.226757  0.655820  107.368991   79.980988 -156.625123  2.436621e-08  1.412988  0.001700  0.640240  2.434314  2.061738  -6.174746 -0.122860 -0.001322  0.061738
26          4       2  2.127041  5.721771  1.589872         2  0.001933  0.117641  0.989732  -33.405161  156.291217   -6.437286  2.713785e-08  0.851721 -0.021603  1.781365  1.611053  0.205370 -0.183717  0.999253  142.272266 -180.235780    2.868539  1.438488e-08  1.754732  0.001449 -0.902572  1.558305  2.127041 -51.461447  2.683937  0.052748  0.127041
27          4       2  1.943540  3.543508  3.087644         2  0.003546 -0.007964  0.431464   11.284035   -4.220445 -185.807345  3.131762e-08  1.153990 -0.055242 -0.357910  3.076845 -0.004493 -0.007357  0.429589    6.766848   -2.862254 -173.194212  3.398195e-08  1.000316  0.002183 -0.400160  3.099196  1.943540  15.362471  0.042250 -0.022351 -0.056460
28          4       2  2.060189  5.492038  1.983088         2  0.120806 -0.193094  0.900000   69.287833 -191.998526  -83.329131  1.446122e-08  1.617539 -0.004586 -1.224465  1.958386  0.155775 -0.227645  0.883396   83.152429 -188.206900  -83.506480  1.600696e-08  1.640863  0.001523 -1.154771  1.956335  2.060189  -1.421451 -0.069694  0.002051  0.060189
29          4       2  1.971047  0.350566  3.077947         2  0.068358 -0.015484  0.418904   28.312300  -16.700870 -176.489822  3.386228e-08  1.072808 -0.024915 -0.532945  2.957454  0.063438 -0.008986  0.413230   25.439530  -12.004845 -171.167410  3.500392e-08  1.001626  0.002181 -0.440914  2.978708  1.971047   7.106691 -0.092032 -0.021254 -0.028953
30          4       2  1.895624  2.897208  1.841050         2 -0.187469  0.089236  0.933675 -171.680528  126.227057  -68.485443  1.263161e-08  1.667069 -0.005006  2.507603  1.881761 -0.250179  0.116265  0.916728 -160.586974  118.220225  -64.316174  1.619128e-08  1.461017  0.001659  2.506998  1.882795  1.895624  14.103320  0.000605 -0.001034 -0.104376
31          4       2  1.994007  3.667824  2.959030         2 -0.066571 -0.011273  0.432419  -10.316844    6.416803 -179.041332  3.390446e-08  1.071951 -0.048370  2.585173  3.073837 -0.078327 -0.021023  0.397238  -13.958988    2.921237 -172.754848  3.594217e-08  1.000230  0.002183  2.935297  3.059227  1.994007   7.170472 -0.350124  0.014611 -0.005993
32          4       2  2.026324  5.744934  2.407323         2  0.168242 -0.182448  0.731269   64.913672 -129.814779 -145.765983  2.163595e-08  1.408229 -0.006139 -1.107110  2.358346  0.196494 -0.192588  0.706938   76.713601 -124.330753 -147.493671  2.221594e-08  1.434305  0.001682 -1.017962  2.360966  2.026324  -1.818028 -0.089148 -0.002620  0.026324
33          4       2  1.980169  5.963523  1.649116         2  0.192154 -0.100724  0.985944  183.905026 -135.914578   -7.657355  1.042600e-08  1.742029 -0.003524 -0.636455  1.604269  0.242786 -0.131123  0.983750  169.935174 -136.294048   -8.575254  1.506910e-08  1.581616  0.001565 -0.675981  1.610141  1.980169  10.142386  0.039526 -0.005872 -0.019831
34          4       2  1.818483  3.808430  2.235777         2 -0.164505 -0.078982  0.843743 -162.790124  -40.583155 -144.606066  1.395342e-08  1.632519 -0.006402 -2.897275  2.282169 -0.249583 -0.116610  0.770230 -142.558105  -26.887344 -127.124461  2.111829e-08  1.238375  0.001872 -2.955176  2.290355  1.818483  31.827518  0.057901 -0.008187 -0.181517
35          4       2  1.997246  4.187850  2.604045         2 -0.149313 -0.138760  0.626395  -84.230299  -39.091114 -176.198650  2.520676e-08  1.320277 -0.012546 -2.707077  2.656567 -0.204865 -0.184003  0.494130  -75.267145  -27.971952 -160.055225  3.383195e-08  1.067355  0.002084 -2.785775  2.676601  1.997246  23.696158  0.078698 -0.020033 -0.002754
36          4       2  2.282235  2.734983  2.142708         2 -0.182551  0.137832  0.838995 -110.146727  138.412091 -126.315105  1.603801e-08  1.572244 -0.005742  2.242964  2.190914 -0.225364  0.157636  0.813646 -131.333442  141.910647 -135.430351  1.680434e-08  1.854255  0.001390  2.317504  2.181800  2.282235 -15.208876 -0.074540  0.009114  0.282235
37          4       2  2.070962  6.267865  2.715383         2  0.228774 -0.116982  0.483262   52.021334  -67.693496 -145.019645  3.630863e-08  0.942727 -0.011295 -0.915570  2.609521  0.253143 -0.107678  0.449505   64.061784  -63.753568 -157.921839  3.554715e-08  1.102036  0.002037 -0.782987  2.621787  2.070962 -14.455859 -0.132584 -0.012265  0.070962
38          4       2  2.118107  4.913332  3.027359         2  0.016254 -0.086621  0.315533    3.098306  -22.208948 -157.050037  4.172338e-08  0.837854 -0.045474 -1.432184  2.999769  0.016881 -0.086531  0.300929    3.674312  -23.419089 -171.797817  4.077687e-08  1.001189  0.002181 -1.415171  3.004473  2.118107 -16.314107 -0.017013 -0.004705  0.118107
39          4       2  2.040767  0.542282  1.936322         2  0.243278  0.076468  0.905226  206.145078   13.390724  -68.045988  1.554129e-08  1.574227 -0.003129  0.064867  1.888997  0.258720  0.095736  0.900379  206.976871   33.987018  -69.988548  1.575863e-08  1.627013  0.001533  0.162754  1.892857  2.040767  -3.244331 -0.097888 -0.003860  0.040767
40          4       2  1.953210  0.118369  2.437903         2  0.251468 -0.051835  0.709856  123.442654  -69.769719 -144.175633  2.307512e-08  1.360975 -0.005586 -0.514438  2.364518  0.272055 -0.041904  0.692871  126.291544  -57.486997 -142.756449  2.346660e-08  1.319109  0.001788 -0.427164  2.370390  1.953210   3.173791 -0.087274 -0.005872 -0.046790
